d,H,k,p,S11
3,18,5,12,-12.75796483
4,18,5,12,-13.36769703
5,18,5,12,-13.83163982
6,18,5,12,-14.1385592
7,18,5,12,-14.25255958
8,18,5,12,-14.07773109
3,19,5,12,-16.40809115
4,19,5,12,-17.0492851
5,19,5,12,-17.78583358
6,19,5,12,-18.12506264
7,19,5,12,-18.03412936
8,19,5,12,-18.53998418
3,20,5,12,-21.41664874
4,20,5,12,-21.33372922
5,20,5,12,-22.56559696
6,20,5,12,-23.61346631
7,20,5,12,-23.43182991
8,20,5,12,-23.25226621
3,21,5,12,-25.19772215
4,21,5,12,-26.03815025
5,21,5,12,-27.98695954
6,21,5,12,-28.19521899
7,21,5,12,-27.70794004
8,21,5,12,-27.96189996
3,22,5,12,-28.40205973
4,22,5,12,-27.67396511
5,22,5,12,-30.94117914
6,22,5,12,-33.40730979
7,22,5,12,-33.35986558
8,22,5,12,-34.7554772
3,23,5,12,-28.85409022
4,23,5,12,-30.9685058
5,23,5,12,-34.8762616
6,23,5,12,-30.78669571
7,23,5,12,-34.46550523
8,23,5,12,-35.12230895
3,24,5,12,-28.48252962
4,24,5,12,-30.03468503
5,24,5,12,-33.13565542
6,24,5,12,-31.42584598
7,24,5,12,-30.48221887
8,24,5,12,-35.58204209
3,18,5,12.5,-9.449141347
4,18,5,12.5,-10.01551373
5,18,5,12.5,-10.42337357
6,18,5,12.5,-10.73214166
7,18,5,12.5,-10.7569615
8,18,5,12.5,-10.94480325
3,19,5,12.5,-12.33615233
4,19,5,12.5,-13.01726948
5,19,5,12.5,-13.53961687
6,19,5,12.5,-13.91961645
7,19,5,12.5,-13.85460615
8,19,5,12.5,-14.09480563
3,20,5,12.5,-15.80052074
4,20,5,12.5,-16.56790464
5,20,5,12.5,-17.14125272
6,20,5,12.5,-17.23245171
7,20,5,12.5,-17.89134188
8,20,5,12.5,-18.05801319
3,21,5,12.5,-18.96091251
4,21,5,12.5,-20.04792302
5,21,5,12.5,-21.04899292
6,21,5,12.5,-21.46396623
7,21,5,12.5,-21.61296823
8,21,5,12.5,-22.26022476
3,22,5,12.5,-21.6647094
4,22,5,12.5,-23.77063992
5,22,5,12.5,-23.2582241
6,22,5,12.5,-25.0855587
7,22,5,12.5,-25.39126687
8,22,5,12.5,-26.44573381
3,23,5,12.5,-23.41681796
4,23,5,12.5,-25.47093152
5,23,5,12.5,-26.64371429
6,23,5,12.5,-27.72153087
7,23,5,12.5,-28.54613221
8,23,5,12.5,-28.9001072
3,24,5,12.5,-25.31409261
4,24,5,12.5,-26.25906826
5,24,5,12.5,-27.28762195
6,24,5,12.5,-29.20943578
7,24,5,12.5,-31.66448406
8,24,5,12.5,-32.21291332
3,18,5,13,-6.45553075
4,18,5,13,-6.85113262
5,18,5,13,-7.133600409
6,18,5,13,-7.317560179
7,18,5,13,-7.391622659
8,18,5,13,-7.498208819
3,19,5,13,-8.607751869
4,19,5,13,-9.293008152
5,19,5,13,-9.587990469
6,19,5,13,-9.772712818
7,19,5,13,-10.039949
8,19,5,13,-10.12914035
3,20,5,13,-11.36814454
4,20,5,13,-11.99971786
5,20,5,13,-12.59419164
6,20,5,13,-12.83095415
7,20,5,13,-13.2723784
8,20,5,13,-13.19680927
3,21,5,13,-14.06467698
4,21,5,13,-14.9617962
5,21,5,13,-15.61588788
6,21,5,13,-16.01284515
7,21,5,13,-16.37367694
8,21,5,13,-16.35371694
3,22,5,13,-16.30112239
4,22,5,13,-17.87288709
5,22,5,13,-18.77077122
6,22,5,13,-19.13671581
7,22,5,13,-20.00154169
8,22,5,13,-20.00208263
3,23,5,13,-18.53440425
4,23,5,13,-19.99705444
5,23,5,13,-21.30238026
6,23,5,13,-21.82312996
7,23,5,13,-22.75536908
8,23,5,13,-22.74590815
3,24,5,13,-20.34405972
4,24,5,13,-21.65846856
5,24,5,13,-23.53473546
6,24,5,13,-24.52560888
7,24,5,13,-26.26412778
8,24,5,13,-26.54939892
3,18,5,13.5,-32.64756943
4,18,5,13.5,-35.42894609
5,18,5,13.5,-38.26772142
6,18,5,13.5,-38.33920179
7,18,5,13.5,-26.8637933
8,18,5,13.5,-27.60059951
3,19,5,13.5,-28.09287337
4,19,5,13.5,-36.72463026
5,19,5,13.5,-44.71053458
6,19,5,13.5,-34.22284842
7,19,5,13.5,-20.4225827
8,19,5,13.5,-21.78577956
3,20,5,13.5,-31.51994995
4,20,5,13.5,-25.82639326
5,20,5,13.5,-27.23912494
6,20,5,13.5,-21.50387912
7,20,5,13.5,-22.44895645
8,20,5,13.5,-23.52461299
3,21,5,13.5,-33.15964207
4,21,5,13.5,-37.52846175
5,21,5,13.5,-47.99470302
6,21,5,13.5,-35.25695042
7,21,5,13.5,-35.62415124
8,21,5,13.5,-47.42977413
3,22,5,13.5,-27.40011647
4,22,5,13.5,-24.76297663
5,22,5,13.5,-23.65239161
6,22,5,13.5,-22.74217
7,22,5,13.5,-21.47557953
8,22,5,13.5,-21.97432035
3,23,5,13.5,-22.47297669
4,23,5,13.5,-20.26069825
5,23,5,13.5,-19.25124687
6,23,5,13.5,-18.85865196
7,23,5,13.5,-18.30902709
8,23,5,13.5,-17.3041733
3,24,5,13.5,-19.77925012
4,24,5,13.5,-17.88454096
5,24,5,13.5,-17.15974251
6,24,5,13.5,-16.41041008
7,24,5,13.5,-16.40724373
8,24,5,13.5,-15.95502995
3,18,5,14,-24.63227205
4,18,5,14,-23.75181221
5,18,5,14,-22.78343039
6,18,5,14,-24.39687936
7,18,5,14,-21.60735742
8,18,5,14,-20.98979962
3,19,5,14,-24.43656399
4,19,5,14,-42.97072629
5,19,5,14,-54.56390287
6,19,5,14,-35.67479612
7,19,5,14,-19.25808537
8,19,5,14,-27.46904631
3,20,5,14,-29.28101366
4,20,5,14,-34.47498183
5,20,5,14,-30.06053915
6,20,5,14,-24.52341482
7,20,5,14,-28.93170317
8,20,5,14,-21.90313115
3,21,5,14,-27.69885868
