a,b,h,l,S11
12,12,4,23,-26.75538539
12,12,4,23.5,-29.01137581
12,12,4,24,-43.11740242
12,12,4,24.5,-34.3221998
12,12,4,25,-53.87259757
12,12,4,25.5,-38.52568301
12,12,4,26,-37.41492334
12.2,12,4,23,-24.42347573
12.2,12,4,23.5,-24.41928373
12.2,12,4,24,-41.51114894
12.2,12,4,24.5,-32.35178919
12.2,12,4,25,-34.87392339
12.2,12,4,25.5,-36.78178546
12.2,12,4,26,-34.93618453
12.4,12,4,23,-26.97521307
12.4,12,4,23.5,-28.68195629
12.4,12,4,24,-34.31608337
12.4,12,4,24.5,-34.01220949
12.4,12,4,25,-32.32788802
12.4,12,4,25.5,-37.22074326
12.4,12,4,26,-34.39027911
12.6,12,4,23,-30.04232192
12.6,12,4,23.5,-33.53069872
12.6,12,4,24,-22.93659208
12.6,12,4,24.5,-40.57670196
12.6,12,4,25,-54.18229368
12.6,12,4,25.5,-32.34691929
12.6,12,4,26,-35.03472546
12.8,12,4,23,-21.53035763
12.8,12,4,23.5,-57.47753129
12.8,12,4,24,-42.84071241
12.8,12,4,24.5,-49.39055574
12.8,12,4,25,-34.98258231
12.8,12,4,25.5,-42.59783241
12.8,12,4,26,-34.74867331
13,12,4,23,-32.03241696
13,12,4,23.5,-46.66121663
13,12,4,24,-42.4425893
13,12,4,24.5,-49.69772131
13,12,4,25,-36.20460334
13,12,4,25.5,-42.31269749
13,12,4,26,-38.23639901
13.2,12,4,23,-43.38588611
13.2,12,4,23.5,-37.15487281
13.2,12,4,24,-31.5267101
13.2,12,4,24.5,-33.73199903
13.2,12,4,25,-35.13758362
13.2,12,4,25.5,-57.13749855
13.2,12,4,26,-53.60074934
13.4,12,4,23,-54.04354626
13.4,12,4,23.5,-31.34116159
13.4,12,4,24,-37.10135218
13.4,12,4,24.5,-35.68991827
13.4,12,4,25,-38.63700621
13.4,12,4,25.5,-38.17005286
13.4,12,4,26,-35.71743337
13.6,12,4,23,-36.01446829
13.6,12,4,23.5,-40.88863811
13.6,12,4,24,-34.81726414
13.6,12,4,24.5,-47.77029203
13.6,12,4,25,-41.47458035
13.6,12,4,25.5,-44.65294399
13.6,12,4,26,-47.43323144
13.8,12,4,23,-31.37155551
13.8,12,4,23.5,-29.71802605
13.8,12,4,24,-36.57838905
13.8,12,4,24.5,-32.26503226
13.8,12,4,25,-49.72590872
13.8,12,4,25.5,-31.80080802
13.8,12,4,26,-46.65244635
14,12,4,23,-32.68388549
14,12,4,23.5,-28.76814436
14,12,4,24,-43.99614882
14,12,4,24.5,-42.34555574
14,12,4,25,-58.40248268
14,12,4,25.5,-31.00703336
14,12,4,26,-40.49300915
12,12.2,4,23,-23.5385332
12,12.2,4,23.5,-34.18620541
12,12.2,4,24,-26.69278845
12,12.2,4,24.5,-39.60331752
12,12.2,4,25,-36.98090249
12,12.2,4,25.5,-38.51650432
12,12.2,4,26,-33.42681767
12.2,12.2,4,23,-39.85308812
12.2,12.2,4,23.5,-30.30935877
12.2,12.2,4,24,-26.72143068
12.2,12.2,4,24.5,-53.45488888
12.2,12.2,4,25,-32.57448005
12.2,12.2,4,25.5,-44.47975075
12.2,12.2,4,26,-29.46502025
12.4,12.2,4,23,-25.10057541
12.4,12.2,4,23.5,-30.04759909
12.4,12.2,4,24,-31.6145218
12.4,12.2,4,24.5,-32.4525805
12.4,12.2,4,25,-34.87209922
12.4,12.2,4,25.5,-34.74493942
12.4,12.2,4,26,-38.96858935
12.6,12.2,4,23,-29.1816152
12.6,12.2,4,23.5,-71.24088397
12.6,12.2,4,24,-45.1657041
12.6,12.2,4,24.5,-37.31392149
12.6,12.2,4,25,-32.88161076
12.6,12.2,4,25.5,-36.5207545
12.6,12.2,4,26,-42.20699227
12.8,12.2,4,23,-39.96984884
12.8,12.2,4,23.5,-29.45190855
12.8,12.2,4,24,-36.02012886
12.8,12.2,4,24.5,-54.29250118
12.8,12.2,4,25,-55.03654498
12.8,12.2,4,25.5,-80.30472277
12.8,12.2,4,26,-33.87501993
13,12.2,4,23,-48.21406131
13,12.2,4,23.5,-31.66174108
13,12.2,4,24,-34.01006141
13,12.2,4,24.5,-42.93541132
13,12.2,4,25,-37.84335818
13,12.2,4,25.5,-55.58164066
13,12.2,4,26,-37.22925563
13.2,12.2,4,23,-43.77976335
13.2,12.2,4,23.5,-32.7797096
13.2,12.2,4,24,-57.02141262
13.2,12.2,4,24.5,-33.55914868
13.2,12.2,4,25,-35.03980247
13.2,12.2,4,25.5,-37.25481999
13.2,12.2,4,26,-35.1639084
13.4,12.2,4,23,-30.83592269
13.4,12.2,4,23.5,-27.03268355
13.4,12.2,4,24,-32.28147652
13.4,12.2,4,24.5,-32.74679174
13.4,12.2,4,25,-36.33604216
13.4,12.2,4,25.5,-28.92087667
13.4,12.2,4,26,-37.42480031
13.6,12.2,4,23,-30.52891702
13.6,12.2,4,23.5,-36.99211946
13.6,12.2,4,24,-47.49446378
13.6,12.2,4,24.5,-58.31961812
13.6,12.2,4,25,-46.26398768
13.6,12.2,4,25.5,-32.86966776
13.6,12.2,4,26,-32.61751132
13.8,12.2,4,23,-24.57182933
13.8,12.2,4,23.5,-23.99918218
13.8,12.2,4,24,-42.22292064
13.8,12.2,4,24.5,-31.59837607
13.8,12.2,4,25,-33.3159477
13.8,12.2,4,25.5,-30.99874821
13.8,12.2,4,26,-42.73370788
14,12.2,4,23,-27.29394357
14,12.2,4,23.5,-22.98388028
14,12.2,4,24,-28.38489045
14,12.2,4,24.5,-36.60302912
14,12.2,4,25,-35.91490377
14,12.2,4,25.5,-44.78892652
14,12.2,4,26,-31.32266618
12,12.4,4,23,-28.12978072
12,12.4,4,23.5,-24.85229266
12,12.4,4,24,-37.02716154
12,12.4,4,24.5,-34.42588612
12,12.4,4,25,-29.94317131
12,12.4,4,25.5,-34.58223518
12,12.4,4,26,-54.09439161
12.2,12.4,4,23,-33.62030353
12.2,12.4,4,23.5,-25.62821091
12.2,12.4,4,24,-32.99570393
12.2,12.4,4,24.5,-43.75697979
12.2,12.4,4,25,-35.82463918
12.2,12.4,4,25.5,-29.9274081
12.2,12.4,4,26,-36.30570924
12.4,12.4,4,23,-30.69760433
12.4,12.4,4,23.5,-31.91900513
12.4,12.4,4,24,-28.0674191
12.4,12.4,4,24.5,-34.11772385
12.4,12.4,4,25,-35.82911442
12.4,12.4,4,25.5,-37.19526737
12.4,12.4,4,26,-31.1639597
12.6,12.4,4,23,-41.66204622
12.6,12.4,4,23.5,-21.23514765
12.6,12.4,4,24,-44.62516027
12.6,12.4,4,24.5,-36.17212634
12.6,12.4,4,25,-31.87778235
12.6,12.4,4,25.5,-33.86182139
12.6,12.4,4,26,-31.44833401
12.8,12.4,4,23,-43.88278967
12.8,12.4,4,23.5,-53.59168526
12.8,12.4,4,24,-46.17753885
12.8,12.4,4,24.5,-42.14528512
12.8,12.4,4,25,-32.28920223
12.8,12.4,4,25.5,-31.94966403
12.8,12.4,4,26,-34.26856526
13,12.4,4,23,-36.14741651
13,12.4,4,23.5,-29.18320591
13,12.4,4,24,-37.35397616
13,12.4,4,24.5,-33.26773618
13,12.4,4,25,-46.14507297
13,12.4,4,25.5,-37.9157689
13,12.4,4,26,-40.18397464
13.2,12.4,4,23,-42.99360428
13.2,12.4,4,23.5,-41.56648229
13.2,12.4,4,24,-28.49774254
13.2,12.4,4,24.5,-47.60080398
13.2,12.4,4,25,-36.78518945
13.2,12.4,4,25.5,-55.17230672
13.2,12.4,4,26,-32.72662296
13.4,12.4,4,23,-34.91013745
13.4,12.4,4,23.5,-27.59748954
